Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14
Redhill,,,04/04/2025,Group 1,https://www.dartsatlas.com/matches/EBfGW49WYIW6,Craig Cross,First,Seb Carvill,1,24,WON,42,44,100,36,58,60,91,70,,,,,,
Redhill,,,04/04/2025,Group 1,https://www.dartsatlas.com/matches/EBfGW49WYIW6,Seb Carvill,Second,Craig Cross,1,21,LOST,31,65,41,99,41,27,41,,,,,,,
Redhill,,,04/04/2025,Group 1,https://www.dartsatlas.com/matches/EBfGW49WYIW6,Craig Cross,Second,Seb Carvill,2,32,WON,84,59,53,42,59,140,48,0,8,4,4,,,
Redhill,,,04/04/2025,Group 1,https://www.dartsatlas.com/matches/EBfGW49WYIW6,Seb Carvill,First,Craig Cross,2,33,LOST,66,45,22,6,24,28,96,42,95,15,42,,,
Redhill,,,04/04/2025,Group 1,https://www.dartsatlas.com/matches/isTCm7dHaOUA,KESH Kahsio Dallman,Second,Robbie Collins,1,20,WON,81,70,22,121,140,27,40,,,,,,,
Redhill,,,04/04/2025,Group 1,https://www.dartsatlas.com/matches/isTCm7dHaOUA,Robbie Collins,First,KESH Kahsio Dallman,1,21,LOST,85,47,82,49,44,58,32,,,,,,,
Redhill,,,04/04/2025,Group 1,https://www.dartsatlas.com/matches/isTCm7dHaOUA,KESH Kahsio Dallman,First,Robbie Collins,2,24,LOST,84,121,68,58,50,60,50,0,,,,,,
Redhill,,,04/04/2025,Group 1,https://www.dartsatlas.com/matches/isTCm7dHaOUA,Robbie Collins,Second,KESH Kahsio Dallman,2,23,WON,54,100,58,47,44,100,80,18,,,,,,
Redhill,,,04/04/2025,Group 1,https://www.dartsatlas.com/matches/isTCm7dHaOUA,KESH Kahsio Dallman,Second,Robbie Collins,3,21,LOST,140,41,66,45,45,98,48,,,,,,,
Redhill,,,04/04/2025,Group 1,https://www.dartsatlas.com/matches/isTCm7dHaOUA,Robbie Collins,First,KESH Kahsio Dallman,3,24,WON,100,60,60,81,100,52,16,32,,,,,,
Redhill,,,04/04/2025,Group 1,https://www.dartsatlas.com/matches/aPONdUFBaSDv,Steve Henry,First,Craig Cross,1,24,LOST,32,44,45,60,60,81,59,40,,,,,,
Redhill,,,04/04/2025,Group 1,https://www.dartsatlas.com/matches/aPONdUFBaSDv,Craig Cross,Second,Steve Henry,1,24,WON,85,100,90,59,49,50,28,40,,,,,,
