Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14
Morden,,,24/05/2025,Group 1,https://www.dartsatlas.com/matches/tGlbvvGytEhT,Toby Climpson,Second,Charlie Green,1,18,LOST,60,60,96,80,60,45,,,,,,,,
Morden,,,24/05/2025,Group 1,https://www.dartsatlas.com/matches/tGlbvvGytEhT,Charlie Green,First,Toby Climpson,1,19,WON,93,81,134,97,88,0,8,,,,,,,
Morden,,,24/05/2025,Group 1,https://www.dartsatlas.com/matches/tGlbvvGytEhT,Toby Climpson,First,Charlie Green,2,21,WON,81,100,26,60,89,99,46,,,,,,,
Morden,,,24/05/2025,Group 1,https://www.dartsatlas.com/matches/tGlbvvGytEhT,Charlie Green,Second,Toby Climpson,2,18,LOST,58,96,58,51,100,58,,,,,,,,
Morden,,,24/05/2025,Group 1,https://www.dartsatlas.com/matches/tGlbvvGytEhT,Toby Climpson,Second,Charlie Green,3,24,LOST,44,45,85,140,100,69,10,0,,,,,,
Morden,,,24/05/2025,Group 1,https://www.dartsatlas.com/matches/tGlbvvGytEhT,Charlie Green,First,Toby Climpson,3,26,WON,47,100,58,49,59,39,97,42,10,,,,,
Morden,,,24/05/2025,Group 1,https://www.dartsatlas.com/matches/tGlbvvGytEhT,Toby Climpson,First,Charlie Green,4,18,LOST,96,38,81,44,41,58,,,,,,,,
Morden,,,24/05/2025,Group 1,https://www.dartsatlas.com/matches/tGlbvvGytEhT,Charlie Green,Second,Toby Climpson,4,18,WON,135,43,60,140,91,32,,,,,,,,
Morden,,,24/05/2025,Group 1,https://www.dartsatlas.com/matches/x0CizuTNrW96,Charlie Hardie,Second,Paul Tudor,1,18,LOST,42,117,93,72,42,25,,,,,,,,
Morden,,,24/05/2025,Group 1,https://www.dartsatlas.com/matches/x0CizuTNrW96,Paul Tudor,First,Charlie Hardie,1,19,WON,45,140,43,60,55,134,24,,,,,,,
