Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Nick Ellis,First,Steven Ferguson,1,21,WON,131,55,125,100,30,20,40,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Steven Ferguson,Second,Nick Ellis,1,18,LOST,45,55,95,57,96,100,,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Nick Ellis,Second,Steven Ferguson,2,20,WON,96,98,43,100,132,16,16,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Steven Ferguson,First,Nick Ellis,2,21,LOST,30,59,30,100,45,41,26,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Nick Ellis,First,Steven Ferguson,3,21,WON,93,100,58,140,50,40,20,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Steven Ferguson,Second,Nick Ellis,3,18,LOST,100,81,58,26,41,41,,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Nick Ellis,Second,Steven Ferguson,4,18,WON,60,100,100,180,41,20,,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Steven Ferguson,First,Nick Ellis,4,18,LOST,60,55,96,22,58,60,,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Nick Ellis,First,Steven Ferguson,5,19,WON,93,54,81,57,100,88,28,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Steven Ferguson,Second,Nick Ellis,5,18,LOST,26,81,60,85,100,43,,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Nick Ellis,Second,Steven Ferguson,6,15,LOST,100,96,57,134,44,,,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Steven Ferguson,First,Nick Ellis,6,17,WON,100,100,81,140,41,39,,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Nick Ellis,First,Steven Ferguson,7,21,LOST,140,41,60,56,60,67,57,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Steven Ferguson,Second,Nick Ellis,7,20,WON,100,100,81,60,100,25,35,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Nick Ellis,Second,Steven Ferguson,8,18,LOST,140,60,97,60,128,12,,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Steven Ferguson,First,Nick Ellis,8,20,WON,60,96,100,81,43,41,80,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Nick Ellis,First,Steven Ferguson,9,19,WON,140,60,100,75,94,0,32,,,,,
Morden,,,29/06/2025,Final,https://www.dartsatlas.com/matches/PsOTOrJZAQ5X,Steven Ferguson,Second,Nick Ellis,9,18,LOST,96,25,80,55,45,60,,,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/w0KkjlmsEDIU,Nick Ellis,First,Kian Dominguez,1,17,WON,100,140,60,57,88,56,,,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/w0KkjlmsEDIU,Kian Dominguez,Second,Nick Ellis,1,15,LOST,60,100,60,100,40,,,,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/w0KkjlmsEDIU,Nick Ellis,Second,Kian Dominguez,2,17,WON,60,100,60,100,100,81,,,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/w0KkjlmsEDIU,Kian Dominguez,First,Nick Ellis,2,18,LOST,100,22,100,60,26,59,,,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/w0KkjlmsEDIU,Nick Ellis,First,Kian Dominguez,3,21,WON,43,100,60,46,58,134,60,,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/w0KkjlmsEDIU,Kian Dominguez,Second,Nick Ellis,3,18,LOST,81,80,48,93,43,100,,,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/w0KkjlmsEDIU,Nick Ellis,Second,Kian Dominguez,4,20,WON,140,100,47,60,71,65,18,,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/w0KkjlmsEDIU,Kian Dominguez,First,Nick Ellis,4,21,LOST,59,60,60,60,85,45,79,,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/w0KkjlmsEDIU,Nick Ellis,First,Kian Dominguez,5,17,WON,60,100,43,100,180,18,,,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/w0KkjlmsEDIU,Kian Dominguez,Second,Nick Ellis,5,15,LOST,60,140,60,140,49,,,,,,,
