Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/cqfKhcFIBjT9,Shane Edwards,First,Jono Harding,1,19,WON,91,82,96,85,37,74,36,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/cqfKhcFIBjT9,Jono Harding,Second,Shane Edwards,1,18,LOST,81,36,100,66,30,58,,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/cqfKhcFIBjT9,Shane Edwards,Second,Jono Harding,2,15,WON,40,140,121,83,117,,,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/cqfKhcFIBjT9,Jono Harding,First,Shane Edwards,2,15,LOST,41,39,58,41,40,,,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/OAsAEr1Ip3Mo,Darryl Pilgrim,Second,Steve Henry,1,17,WON,43,100,115,140,83,20,,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/OAsAEr1Ip3Mo,Steve Henry,First,Darryl Pilgrim,1,18,LOST,32,47,100,45,59,123,,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/OAsAEr1Ip3Mo,Darryl Pilgrim,First,Steve Henry,2,12,WON,123,180,123,75,,,,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/OAsAEr1Ip3Mo,Steve Henry,Second,Darryl Pilgrim,2,9,LOST,30,56,28,,,,,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/c0EKwMV8wkSN,Ryan Cross,Second,Kean Evans,1,21,WON,140,58,84,95,56,62,6,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/c0EKwMV8wkSN,Kean Evans,First,Ryan Cross,1,21,LOST,60,100,100,100,25,45,24,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/c0EKwMV8wkSN,Ryan Cross,First,Kean Evans,2,27,LOST,137,58,81,58,25,56,46,35,0,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/c0EKwMV8wkSN,Kean Evans,Second,Ryan Cross,2,25,WON,43,22,60,60,100,83,101,16,16,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/c0EKwMV8wkSN,Ryan Cross,Second,Kean Evans,3,18,LOST,45,44,60,40,46,30,,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/c0EKwMV8wkSN,Kean Evans,First,Ryan Cross,3,21,WON,60,100,100,26,60,97,58,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/zX2en7T8W7li,Shane Edwards,First,Darryl Pilgrim,1,19,WON,81,57,140,135,63,9,16,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/zX2en7T8W7li,Darryl Pilgrim,Second,Shane Edwards,1,18,LOST,140,140,60,41,81,7,,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/zX2en7T8W7li,Shane Edwards,Second,Darryl Pilgrim,2,22,WON,24,100,81,100,85,51,40,20,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/zX2en7T8W7li,Darryl Pilgrim,First,Shane Edwards,2,24,LOST,134,93,66,41,89,38,20,0,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/CMML3dONa52m,Jono Harding,Second,Kean Evans,1,21,LOST,90,45,43,45,58,44,44,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/CMML3dONa52m,Kean Evans,First,Jono Harding,1,22,WON,85,41,60,140,59,60,20,36,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/CMML3dONa52m,Jono Harding,First,Kean Evans,2,27,LOST,43,12,26,47,27,73,7,26,40,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/CMML3dONa52m,Kean Evans,Second,Jono Harding,2,26,WON,85,60,22,47,43,52,80,100,12,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/9TimWvlrdQ7j,Steve Henry,First,Ryan Cross,1,27,WON,70,52,26,60,60,30,59,95,49,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/9TimWvlrdQ7j,Ryan Cross,Second,Steve Henry,1,24,LOST,45,60,45,50,40,100,39,29,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/9TimWvlrdQ7j,Steve Henry,Second,Ryan Cross,2,18,LOST,45,45,80,27,132,98,,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/9TimWvlrdQ7j,Ryan Cross,First,Steve Henry,2,20,WON,49,125,62,29,94,54,88,,,,,,,,,,
Redhill,,,21/03/2025,Group 1,https://www.dartsatlas.com/matches/9TimWvlrdQ7j,Steve Henry,First,Ryan Cross,3,16,WON,85,140,68,121,71,16,,,,,,,,,,,
