Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14
Redhill,,,21/03/2025,Final,https://www.dartsatlas.com/matches/FXj7JRQHLqQa,Darryl Pilgrim,Second,Cam Crabtree,1,15,LOST,140,60,58,93,59,,,,,,,,,
Redhill,,,21/03/2025,Final,https://www.dartsatlas.com/matches/FXj7JRQHLqQa,Cam Crabtree,First,Darryl Pilgrim,1,16,WON,140,100,55,100,88,18,,,,,,,,
Redhill,,,21/03/2025,Final,https://www.dartsatlas.com/matches/FXj7JRQHLqQa,Darryl Pilgrim,First,Cam Crabtree,2,15,LOST,43,27,140,180,79,,,,,,,,,
Redhill,,,21/03/2025,Final,https://www.dartsatlas.com/matches/FXj7JRQHLqQa,Cam Crabtree,Second,Darryl Pilgrim,2,13,WON,85,180,100,96,40,,,,,,,,,
Redhill,,,21/03/2025,Final,https://www.dartsatlas.com/matches/FXj7JRQHLqQa,Darryl Pilgrim,Second,Cam Crabtree,3,12,LOST,139,77,58,100,,,,,,,,,,
Redhill,,,21/03/2025,Final,https://www.dartsatlas.com/matches/FXj7JRQHLqQa,Cam Crabtree,First,Darryl Pilgrim,3,15,WON,100,180,85,58,78,,,,,,,,,
Redhill,,,21/03/2025,Final,https://www.dartsatlas.com/matches/FXj7JRQHLqQa,Darryl Pilgrim,First,Cam Crabtree,4,15,LOST,77,134,98,42,55,,,,,,,,,
Redhill,,,21/03/2025,Final,https://www.dartsatlas.com/matches/FXj7JRQHLqQa,Cam Crabtree,Second,Darryl Pilgrim,4,14,WON,96,120,120,105,60,,,,,,,,,
Redhill,,,21/03/2025,Final,https://www.dartsatlas.com/matches/FXj7JRQHLqQa,Darryl Pilgrim,Second,Cam Crabtree,5,15,LOST,85,180,100,120,12,,,,,,,,,
Redhill,,,21/03/2025,Final,https://www.dartsatlas.com/matches/FXj7JRQHLqQa,Cam Crabtree,First,Darryl Pilgrim,5,18,WON,58,60,45,180,58,100,,,,,,,,
Redhill,,,21/03/2025,Final,https://www.dartsatlas.com/matches/FXj7JRQHLqQa,Darryl Pilgrim,First,Cam Crabtree,6,14,WON,140,121,140,52,48,,,,,,,,,
Redhill,,,21/03/2025,Final,https://www.dartsatlas.com/matches/FXj7JRQHLqQa,Cam Crabtree,Second,Darryl Pilgrim,6,12,LOST,100,57,100,96,,,,,,,,,,
Redhill,,,21/03/2025,Final,https://www.dartsatlas.com/matches/FXj7JRQHLqQa,Darryl Pilgrim,Second,Cam Crabtree,7,12,LOST,125,60,100,95,,,,,,,,,,
Redhill,,,21/03/2025,Final,https://www.dartsatlas.com/matches/FXj7JRQHLqQa,Cam Crabtree,First,Darryl Pilgrim,7,14,WON,100,140,140,103,18,,,,,,,,,
Redhill,,,21/03/2025,Semi-Final,https://www.dartsatlas.com/matches/PKMCwbmIfdtc,Shane Edwards,First,Darryl Pilgrim,1,15,LOST,100,66,24,86,55,,,,,,,,,
Redhill,,,21/03/2025,Semi-Final,https://www.dartsatlas.com/matches/PKMCwbmIfdtc,Darryl Pilgrim,Second,Shane Edwards,1,14,WON,97,140,60,134,70,,,,,,,,,
Redhill,,,21/03/2025,Semi-Final,https://www.dartsatlas.com/matches/PKMCwbmIfdtc,Shane Edwards,Second,Darryl Pilgrim,2,15,LOST,60,57,60,100,134,,,,,,,,,
Redhill,,,21/03/2025,Semi-Final,https://www.dartsatlas.com/matches/PKMCwbmIfdtc,Darryl Pilgrim,First,Shane Edwards,2,16,WON,58,100,123,140,40,40,,,,,,,,
Redhill,,,21/03/2025,Semi-Final,https://www.dartsatlas.com/matches/PKMCwbmIfdtc,Shane Edwards,First,Darryl Pilgrim,3,12,LOST,100,140,57,82,,,,,,,,,,
Redhill,,,21/03/2025,Semi-Final,https://www.dartsatlas.com/matches/PKMCwbmIfdtc,Darryl Pilgrim,Second,Shane Edwards,3,12,WON,140,131,100,130,,,,,,,,,,
Redhill,,,21/03/2025,Semi-Final,https://www.dartsatlas.com/matches/PKMCwbmIfdtc,Shane Edwards,Second,Darryl Pilgrim,4,18,WON,57,60,140,80,84,80,,,,,,,,
Redhill,,,21/03/2025,Semi-Final,https://www.dartsatlas.com/matches/PKMCwbmIfdtc,Darryl Pilgrim,First,Shane Edwards,4,18,LOST,58,47,60,99,42,95,,,,,,,,
Redhill,,,21/03/2025,Semi-Final,https://www.dartsatlas.com/matches/PKMCwbmIfdtc,Shane Edwards,First,Darryl Pilgrim,5,23,WON,100,96,53,60,40,92,28,32,,,,,,
Redhill,,,21/03/2025,Semi-Final,https://www.dartsatlas.com/matches/PKMCwbmIfdtc,Darryl Pilgrim,Second,Shane Edwards,5,21,LOST,23,58,39,60,59,98,124,,,,,,,
Redhill,,,21/03/2025,Semi-Final,https://www.dartsatlas.com/matches/PKMCwbmIfdtc,Shane Edwards,Second,Darryl Pilgrim,6,12,LOST,40,140,57,180,,,,,,,,,,
Redhill,,,21/03/2025,Semi-Final,https://www.dartsatlas.com/matches/PKMCwbmIfdtc,Darryl Pilgrim,First,Shane Edwards,6,13,WON,180,85,140,60,36,,,,,,,,,
