Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17
Ruislip,,,09/08/2025,Group 1,https://www.dartsatlas.com/matches/T1HjPJEmghNV,Liam Saxon,First,Connor Merrick,1,23,WON,96,100,98,57,126,0,16,8,,,,,,,,,
Ruislip,,,09/08/2025,Group 1,https://www.dartsatlas.com/matches/T1HjPJEmghNV,Connor Merrick,Second,Liam Saxon,1,21,LOST,43,41,43,60,40,52,59,,,,,,,,,,
Ruislip,,,09/08/2025,Group 1,https://www.dartsatlas.com/matches/T1HjPJEmghNV,Liam Saxon,Second,Connor Merrick,2,18,WON,70,99,96,100,58,78,,,,,,,,,,,
Ruislip,,,09/08/2025,Group 1,https://www.dartsatlas.com/matches/T1HjPJEmghNV,Connor Merrick,First,Liam Saxon,2,18,LOST,58,97,30,58,41,59,,,,,,,,,,,
Ruislip,,,09/08/2025,Group 1,https://www.dartsatlas.com/matches/T1HjPJEmghNV,Liam Saxon,First,Connor Merrick,3,24,WON,98,97,85,57,74,65,17,8,,,,,,,,,
Ruislip,,,09/08/2025,Group 1,https://www.dartsatlas.com/matches/T1HjPJEmghNV,Connor Merrick,Second,Liam Saxon,3,21,LOST,46,140,45,60,74,88,0,,,,,,,,,,
Ruislip,,,09/08/2025,Group 1,https://www.dartsatlas.com/matches/3sprPvq0JhQi,Max Miller,First,Jono Harding,1,36,LOST,41,26,41,82,3,25,35,34,27,43,44,41,,,,,
Ruislip,,,09/08/2025,Group 1,https://www.dartsatlas.com/matches/3sprPvq0JhQi,Jono Harding,Second,Max Miller,1,36,WON,59,45,100,60,60,121,38,16,0,0,0,2,,,,,
Ruislip,,,09/08/2025,Group 1,https://www.dartsatlas.com/matches/3sprPvq0JhQi,Max Miller,Second,Jono Harding,2,33,WON,11,22,41,44,100,17,44,38,78,39,67,,,,,,
Ruislip,,,09/08/2025,Group 1,https://www.dartsatlas.com/matches/3sprPvq0JhQi,Jono Harding,First,Max Miller,2,33,LOST,47,100,90,45,97,46,36,20,16,0,0,,,,,,
