Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,George Whyte,First,Charlie Green,1,17,WON,22,134,60,100,125,60,,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,Charlie Green,Second,George Whyte,1,15,LOST,96,65,100,100,100,,,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,George Whyte,Second,Charlie Green,2,15,LOST,39,60,180,60,26,,,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,Charlie Green,First,George Whyte,2,17,WON,95,99,100,59,92,56,,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,George Whyte,First,Charlie Green,3,24,WON,80,100,140,22,60,12,47,40,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,Charlie Green,Second,George Whyte,3,21,LOST,137,33,58,133,100,0,20,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,George Whyte,Second,Charlie Green,4,18,LOST,43,35,41,16,60,15,,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,Charlie Green,First,George Whyte,4,21,WON,140,59,28,96,58,100,20,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,George Whyte,First,Charlie Green,5,20,WON,45,84,96,121,45,74,36,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,Charlie Green,Second,George Whyte,5,18,LOST,45,125,59,60,100,44,,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,George Whyte,Second,Charlie Green,6,18,LOST,60,140,100,21,80,60,,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,Charlie Green,First,George Whyte,6,20,WON,135,100,59,26,85,56,40,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,George Whyte,First,Charlie Green,7,21,WON,180,60,60,60,58,51,32,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,Charlie Green,Second,George Whyte,7,18,LOST,45,140,59,45,140,32,,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,George Whyte,Second,Charlie Green,8,15,LOST,60,96,100,60,125,,,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,Charlie Green,First,George Whyte,8,18,WON,60,90,100,60,119,72,,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,George Whyte,First,Charlie Green,9,21,LOST,140,78,49,44,41,43,70,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,Charlie Green,Second,George Whyte,9,19,WON,100,45,60,140,43,73,40,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,George Whyte,Second,Charlie Green,10,18,WON,96,100,42,134,89,40,,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,Charlie Green,First,George Whyte,10,18,LOST,41,60,80,60,62,78,,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,George Whyte,First,Charlie Green,11,18,WON,95,140,96,60,41,69,,,,,,,,,,,
Ruislip,,,26/04/2025,Final,https://www.dartsatlas.com/matches/3gAfRxmkxkn7,Charlie Green,Second,George Whyte,11,15,LOST,60,25,60,41,51,,,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VkU9bx6wwpO9,Nick Holman,First,George Whyte,1,15,LOST,81,60,140,100,60,,,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VkU9bx6wwpO9,George Whyte,Second,Nick Holman,1,15,WON,140,100,140,92,29,,,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VkU9bx6wwpO9,Nick Holman,Second,George Whyte,2,12,LOST,100,40,43,60,,,,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VkU9bx6wwpO9,George Whyte,First,Nick Holman,2,14,WON,81,125,100,140,55,,,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VkU9bx6wwpO9,Nick Holman,First,George Whyte,3,18,LOST,80,43,81,45,81,100,,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VkU9bx6wwpO9,George Whyte,Second,Nick Holman,3,18,WON,60,85,55,140,119,42,,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VkU9bx6wwpO9,Nick Holman,Second,George Whyte,4,15,LOST,82,41,60,100,140,,,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VkU9bx6wwpO9,George Whyte,First,Nick Holman,4,17,WON,80,84,45,180,96,16,,,,,,,,,,,
