Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12
Ruislip,,,28/02/2025,Final,https://www.dartsatlas.com/matches/FNCTr7CbeNLf,John Nelson,Second,Tergel Khurelkhuu,1,15,WON,117,140,82,134,28,,,,,,,
Ruislip,,,28/02/2025,Final,https://www.dartsatlas.com/matches/FNCTr7CbeNLf,Tergel Khurelkhuu,First,John Nelson,1,15,LOST,100,140,140,81,35,,,,,,,
Ruislip,,,28/02/2025,Final,https://www.dartsatlas.com/matches/FNCTr7CbeNLf,John Nelson,First,Tergel Khurelkhuu,2,14,WON,85,82,95,180,59,,,,,,,
Ruislip,,,28/02/2025,Final,https://www.dartsatlas.com/matches/FNCTr7CbeNLf,Tergel Khurelkhuu,Second,John Nelson,2,12,LOST,95,140,171,57,,,,,,,,
Ruislip,,,28/02/2025,Final,https://www.dartsatlas.com/matches/FNCTr7CbeNLf,John Nelson,Second,Tergel Khurelkhuu,3,18,LOST,99,140,50,60,96,36,,,,,,
Ruislip,,,28/02/2025,Final,https://www.dartsatlas.com/matches/FNCTr7CbeNLf,Tergel Khurelkhuu,First,John Nelson,3,19,WON,81,59,55,58,140,88,20,,,,,
Ruislip,,,28/02/2025,Final,https://www.dartsatlas.com/matches/FNCTr7CbeNLf,John Nelson,First,Tergel Khurelkhuu,4,16,WON,137,96,126,62,64,16,,,,,,
Ruislip,,,28/02/2025,Final,https://www.dartsatlas.com/matches/FNCTr7CbeNLf,Tergel Khurelkhuu,Second,John Nelson,4,15,LOST,99,140,36,140,63,,,,,,,
Ruislip,,,28/02/2025,Final,https://www.dartsatlas.com/matches/FNCTr7CbeNLf,John Nelson,Second,Tergel Khurelkhuu,5,15,WON,44,77,58,180,142,,,,,,,
Ruislip,,,28/02/2025,Final,https://www.dartsatlas.com/matches/FNCTr7CbeNLf,Tergel Khurelkhuu,First,John Nelson,5,15,LOST,134,100,59,136,48,,,,,,,
Ruislip,,,28/02/2025,Final,https://www.dartsatlas.com/matches/FNCTr7CbeNLf,John Nelson,First,Tergel Khurelkhuu,6,18,LOST,58,100,96,134,57,36,,,,,,
Ruislip,,,28/02/2025,Final,https://www.dartsatlas.com/matches/FNCTr7CbeNLf,Tergel Khurelkhuu,Second,John Nelson,6,16,WON,100,68,100,75,120,38,,,,,,
Ruislip,,,28/02/2025,Final,https://www.dartsatlas.com/matches/FNCTr7CbeNLf,John Nelson,Second,Tergel Khurelkhuu,7,9,LOST,100,100,96,,,,,,,,,
Ruislip,,,28/02/2025,Final,https://www.dartsatlas.com/matches/FNCTr7CbeNLf,Tergel Khurelkhuu,First,John Nelson,7,12,WON,60,180,180,81,,,,,,,,
