Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14
Southwark,,,17/08/2025,Final,https://www.dartsatlas.com/matches/Q8kaSQKzETJM,Edgar Znutins,First,Charlie Green,1,16,WON,125,140,44,100,68,24,,,,,,,,
Southwark,,,17/08/2025,Final,https://www.dartsatlas.com/matches/Q8kaSQKzETJM,Charlie Green,Second,Edgar Znutins,1,15,LOST,100,99,84,41,80,,,,,,,,,
Southwark,,,17/08/2025,Final,https://www.dartsatlas.com/matches/Q8kaSQKzETJM,Edgar Znutins,Second,Charlie Green,2,23,WON,46,95,45,140,59,56,40,20,,,,,,
Southwark,,,17/08/2025,Final,https://www.dartsatlas.com/matches/Q8kaSQKzETJM,Charlie Green,First,Edgar Znutins,2,24,LOST,45,140,59,60,100,81,0,0,,,,,,
Southwark,,,17/08/2025,Final,https://www.dartsatlas.com/matches/Q8kaSQKzETJM,Edgar Znutins,First,Charlie Green,3,18,WON,97,140,92,60,42,70,,,,,,,,
Southwark,,,17/08/2025,Final,https://www.dartsatlas.com/matches/Q8kaSQKzETJM,Charlie Green,Second,Edgar Znutins,3,15,LOST,60,43,81,58,95,,,,,,,,,
Southwark,,,17/08/2025,Final,https://www.dartsatlas.com/matches/Q8kaSQKzETJM,Edgar Znutins,Second,Charlie Green,4,16,WON,140,85,140,58,38,40,,,,,,,,
Southwark,,,17/08/2025,Final,https://www.dartsatlas.com/matches/Q8kaSQKzETJM,Charlie Green,First,Edgar Znutins,4,18,LOST,140,81,59,41,60,80,,,,,,,,
Southwark,,,17/08/2025,Final,https://www.dartsatlas.com/matches/Q8kaSQKzETJM,Edgar Znutins,First,Charlie Green,5,18,WON,135,40,100,140,54,32,,,,,,,,
Southwark,,,17/08/2025,Final,https://www.dartsatlas.com/matches/Q8kaSQKzETJM,Charlie Green,Second,Edgar Znutins,5,15,LOST,57,61,22,121,100,,,,,,,,,
Southwark,,,17/08/2025,Final,https://www.dartsatlas.com/matches/Q8kaSQKzETJM,Edgar Znutins,Second,Charlie Green,6,15,LOST,57,100,122,58,60,,,,,,,,,
Southwark,,,17/08/2025,Final,https://www.dartsatlas.com/matches/Q8kaSQKzETJM,Charlie Green,First,Edgar Znutins,6,17,WON,140,85,100,100,56,20,,,,,,,,
