Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/pTChLMw4xpv2,Ryan Smith,Second,Charlie Green,1,15,LOST,83,81,99,44,80,,,,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/pTChLMw4xpv2,Charlie Green,First,Ryan Smith,1,16,WON,180,100,44,99,58,20,,,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/pTChLMw4xpv2,Ryan Smith,First,Charlie Green,2,23,WON,58,140,85,54,44,37,67,16,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/pTChLMw4xpv2,Charlie Green,Second,Ryan Smith,2,21,LOST,80,42,96,100,100,58,19,,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/pTChLMw4xpv2,Ryan Smith,Second,Charlie Green,3,21,LOST,46,25,41,19,31,66,59,,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/pTChLMw4xpv2,Charlie Green,First,Ryan Smith,3,24,WON,97,45,58,59,81,58,55,48,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/LtKLOiq9J9N2,Joe ephgrave,First,Teddie Stanford,1,24,WON,31,100,26,43,100,97,39,65,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/LtKLOiq9J9N2,Teddie Stanford,Second,Joe ephgrave,1,21,LOST,35,26,14,18,43,18,41,,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/LtKLOiq9J9N2,Joe ephgrave,Second,Teddie Stanford,2,18,WON,81,135,60,121,48,56,,,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/LtKLOiq9J9N2,Teddie Stanford,First,Joe ephgrave,2,18,LOST,79,60,32,45,14,22,,,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/znkQEKEEI5lA,Sebastian Bond,First,Ryan Smith,1,28,WON,41,45,22,81,60,58,134,20,20,20,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/znkQEKEEI5lA,Ryan Smith,Second,Sebastian Bond,1,27,LOST,77,41,58,58,34,25,44,96,28,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/znkQEKEEI5lA,Sebastian Bond,Second,Ryan Smith,2,15,LOST,41,60,41,81,60,,,,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/znkQEKEEI5lA,Ryan Smith,First,Sebastian Bond,2,18,WON,43,125,46,140,50,97,,,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/znkQEKEEI5lA,Sebastian Bond,First,Ryan Smith,3,25,WON,85,42,25,81,45,127,21,35,40,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/znkQEKEEI5lA,Ryan Smith,Second,Sebastian Bond,3,24,LOST,96,40,45,40,135,28,23,40,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/3DY21q3wWSJz,Charlie Green,Second,Joe ephgrave,1,21,WON,59,140,77,58,137,0,30,,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/3DY21q3wWSJz,Joe ephgrave,First,Charlie Green,1,21,LOST,21,125,81,24,30,85,60,,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/3DY21q3wWSJz,Charlie Green,First,Joe ephgrave,2,27,LOST,140,59,75,100,26,45,36,15,0,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/3DY21q3wWSJz,Joe ephgrave,Second,Charlie Green,2,25,WON,100,81,100,64,80,36,0,2,38,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/3DY21q3wWSJz,Charlie Green,Second,Joe ephgrave,3,19,WON,58,70,60,96,100,97,20,,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/3DY21q3wWSJz,Joe ephgrave,First,Charlie Green,3,21,LOST,42,47,85,53,26,42,100,,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/foHJoBuKcdiu,Teddie Stanford,Second,Sebastian Bond,1,27,LOST,60,27,60,23,26,41,45,85,22,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/foHJoBuKcdiu,Sebastian Bond,First,Teddie Stanford,1,28,WON,83,43,81,82,91,81,0,26,0,14,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/foHJoBuKcdiu,Teddie Stanford,First,Sebastian Bond,2,51,LOST,30,23,41,38,7,29,68,32,30,21,67,26,19,38,0,8,22
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/foHJoBuKcdiu,Sebastian Bond,Second,Teddie Stanford,2,49,WON,100,28,43,30,41,99,60,25,0,35,30,5,0,0,3,0,2
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/fEB0GAZZtlKB,Ryan Smith,First,Joe ephgrave,1,21,LOST,44,60,80,58,40,59,45,,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/fEB0GAZZtlKB,Joe ephgrave,Second,Ryan Smith,1,21,WON,43,121,60,60,55,22,140,,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/fEB0GAZZtlKB,Ryan Smith,Second,Joe ephgrave,2,23,WON,41,82,36,100,140,42,40,20,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/fEB0GAZZtlKB,Joe ephgrave,First,Ryan Smith,2,24,LOST,22,22,100,57,43,93,43,93,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/fEB0GAZZtlKB,Ryan Smith,First,Joe ephgrave,3,30,LOST,60,30,18,45,42,41,69,60,58,38,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/fEB0GAZZtlKB,Joe ephgrave,Second,Ryan Smith,3,30,WON,41,59,97,44,41,42,60,68,29,20,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/vQLEw5RlCXXs,Charlie Green,First,Teddie Stanford,1,25,WON,100,57,100,85,59,60,26,0,14,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/vQLEw5RlCXXs,Teddie Stanford,Second,Charlie Green,1,24,LOST,45,28,9,73,26,54,33,28,,,,,,,,,
Wood Green,,,14/06/2025,Group 1,https://www.dartsatlas.com/matches/vQLEw5RlCXXs,Charlie Green,Second,Teddie Stanford,2,20,WON,100,57,36,99,85,92,32,,,,,,,,,,
